GEN	1	18	5	H2822	darkness
GEN	1	18	6	H430	God
GEN	1	18	7	H7200	saw
GEN	1	18	8	H2896	good
GEN	1	19	0	H6153	evening
GEN	1	19	1	H1242	morning
GEN	1	19	2	H7243	fourth
GEN	1	19	3	H3117	day
GEN	1	20	0	H430	God
GEN	1	20	1	H559	said
GEN	1	20	2	H4325	waters
GEN	1	20	3	H8317	abundantly
GEN	1	20	4	H8318	creature
GEN	1	20	5	H5315	hath
GEN	1	20	6	H2416	life
GEN	1	20	7	H5775	fowl
GEN	1	20	8	H5774	fly
GEN	1	20	9	H5921	above
GEN	1	20	10	H776	earth
GEN	1	20	11	H6440	open
GEN	1	20	12	H7549	firmament
GEN	1	20	13	H8064	heaven
GEN	1	21	0	H430	God
GEN	1	21	1	H1254	created
GEN	1	21	2	H1419	great
GEN	1	21	3	H8577	whales
GEN	1	21	4	H2416	living
GEN	1	21	5	H5315	creature
GEN	1	21	6	H7430	moveth
GEN	1	21	7	H4325	waters
GEN	1	21	8	H8317	abundantly
GEN	1	21	9	H4327	kind
GEN	1	21	10	H3671	winged
GEN	1	21	11	H5775	fowl
GEN	1	21	12	H4327	kind
GEN	1	21	13	H430	God
GEN	1	21	14	H7200	saw
GEN	1	21	15	H2896	good
GEN	1	22	0	H430	God
GEN	1	22	1	H1288	blessed
GEN	1	22	2	H559	saying
GEN	1	22	3	H6509	fruitful
GEN	1	22	4	H7235	multiply
GEN	1	22	5	H4390	fill
GEN	1	22	6	H4325	waters
GEN	1	22	7	H3220	seas
GEN	1	22	8	H5775	fowl
GEN	1	22	9	H7235	multiply
GEN	1	22	10	H776	earth
GEN	1	23	0	H6153	evening
GEN	1	23	1	H1242	morning
GEN	1	23	2	H2549	fifth
GEN	1	23	3	H3117	day
GEN	1	24	0	H430	God
GEN	1	24	1	H559	said
GEN	1	24	2	H776	earth
GEN	1	24	3	H3318	forth
GEN	1	24	4	H2416	living
GEN	1	24	5	H5315	creature
GEN	1	24	6	H4327	kind
GEN	1	24	7	H929	cattle
GEN	1	24	8	H7431	thing
GEN	1	24	9	H2416	beast
GEN	1	24	10	H776	earth
GEN	1	24	11	H4327	kind
GEN	1	25	0	H430	God
GEN	1	25	1	H6213	made
GEN	1	25	2	H2416	beast
GEN	1	25	3	H776	earth
GEN	1	25	4	H4327	kind
GEN	1	25	5	H929	cattle
GEN	1	25	6	H4327	kind
GEN	1	25	7	H7431	creepeth
GEN	1	25	8	H127	earth
GEN	1	25	9	H4327	kind
GEN	1	25	10	H430	God
GEN	1	25	11	H7200	saw
GEN	1	25	12	H2896	good
GEN	1	26	0	H430	God
GEN	1	26	1	H559	said
GEN	1	26	2	H6213	make
GEN	1	26	3	H120	man
GEN	1	26	4	H6754	image
GEN	1	26	5	H1823	likeness
GEN	1	26	6	H7287	dominion
GEN	1	26	7	H1710	fish
GEN	1	26	8	H3220	sea
GEN	1	26	9	H5775	fowl
GEN	1	26	10	H8064	air
GEN	1	26	11	H929	cattle
GEN	1	26	12	H776	earth
GEN	1	26	13	H7431	thing
GEN	1	26	14	H7430	creepeth
GEN	1	26	15	H776	earth
GEN	1	27	0	H430	God
GEN	1	27	1	H1254	created
GEN	1	27	2	H120	man
GEN	1	27	3	H6754	image image
GEN	1	27	4	H430	God
GEN	1	27	5	H1254	created
GEN	1	27	6	H2145	male
GEN	1	27	7	H5347	female
GEN	1	27	8	H1254	created
GEN	1	28	0	H430	God
GEN	1	28	1	H1288	blessed
GEN	1	28	2	H430	God
GEN	1	28	3	H559	said
GEN	1	28	4	H6509	fruitful
GEN	1	28	5	H7235	multiply
GEN	1	28	6	H4390	replenish
GEN	1	28	7	H776	earth
GEN	1	28	8	H3533	it
GEN	1	28	9	H7287	dominion
GEN	1	28	10	H1710	fish
GEN	1	28	11	H3220	sea
GEN	1	28	12	H5775	fowl
GEN	1	28	13	H8064	air
GEN	1	28	14	H2416	thing
GEN	1	28	15	H7430	moveth
GEN	1	28	16	H776	earth
GEN	1	29	0	H430	God
GEN	1	29	1	H559	said
GEN	1	29	2	H2009	Behold
GEN	1	29	3	H5414	given
GEN	1	29	4	H6212	herb
GEN	1	29	5	H2232	bearing
GEN	1	29	6	H2233	seed
GEN	1	29	7	H6440	face
GEN	1	29	8	H776	earth
GEN	1	29	9	H6086	tree
GEN	1	29	10	H6529	fruit
GEN	1	29	11	H6086	tree
GEN	1	29	12	H2232	yielding
GEN	1	29	13	H2233	seed
GEN	1	29	14	H1961	be
GEN	1	29	15	H402	meat
GEN	1	30	0	H2416	beast
GEN	1	30	1	H776	earth
GEN	1	30	2	H5775	fowl
GEN	1	30	3	H8064	air
GEN	1	30	4	H7430	creepeth
GEN	1	30	5	H776	earth
GEN	1	30	6	H2416	life
GEN	1	30	7	H3418	green
GEN	1	30	8	H6212	herb
GEN	1	30	9	H402	meat
GEN	1	31	0	H430	God
GEN	1	31	1	H7200	saw
GEN	1	31	2	H834	that
GEN	1	31	3	H6213	made
GEN	1	31	4	H3966	very
GEN	1	31	5	H2896	good
GEN	1	31	6	H6153	evening
GEN	1	31	7	H1242	morning
GEN	1	31	8	H8345	sixth
GEN	1	31	9	H3117	day
GEN	2	1	0	H8064	heavens
GEN	2	1	1	H776	earth
GEN	2	1	2	H3615	finished
GEN	2	1	3	H6635	them
GEN	2	2	0	H7637	seventh
GEN	2	2	1	H3117	day
GEN	2	2	2	H430	God
GEN	2	2	3	H3615	ended
GEN	2	2	4	H4399	work
GEN	2	2	5	H6213	made
GEN	2	2	6	H7673	rested
GEN	2	2	7	H7637	seventh
GEN	2	2	8	H3117	day
GEN	2	2	9	H4399	work
GEN	2	2	10	H6213	made
GEN	2	3	0	H430	God
GEN	2	3	1	H1288	blessed
GEN	2	3	2	H7637	seventh
GEN	2	3	3	H3117	day
GEN	2	3	4	H6942	sanctified
GEN	2	3	5	H3588	because
GEN	2	3	6	H7673	rested
GEN	2	3	7	H4399	work
GEN	2	3	8	H430	God
GEN	2	3	9	H1254	created
GEN	2	3	10	H6213	made
GEN	2	4	0	H428	These
GEN	2	4	1	H8435	generations
GEN	2	4	2	H8064	heavens
GEN	2	4	3	H776	earth
GEN	2	4	4	H1254	created
GEN	2	4	5	H3117	day
GEN	2	4	6	H430	God
GEN	2	4	7	H6213	made
GEN	2	4	8	H776	earth
GEN	2	4	9	H8064	heavens
GEN	2	5	0	H7880	plant
GEN	2	5	1	H7704	field
GEN	2	5	2	H2962	before
GEN	2	5	3	H776	earth
GEN	2	5	4	H6212	herb
GEN	2	5	5	H7704	field
GEN	2	5	6	H2962	before
GEN	2	5	7	H6779	grew
GEN	2	5	8	H3588	for
GEN	2	5	9	H430	God
GEN	2	5	10	H3808	not
GEN	2	5	11	H4305	rain
GEN	2	5	12	H776	earth
GEN	2	5	13	H369	not
GEN	2	5	14	H120	man
GEN	2	5	15	H5647	till
GEN	2	5	16	H127	ground
GEN	2	6	0	H5927	up
GEN	2	6	1	H108	mist
GEN	2	6	2	H4480	from
GEN	2	6	3	H776	earth
GEN	2	6	4	H8248	watered
GEN	2	6	5	H6440	face
GEN	2	6	6	H127	ground
GEN	2	7	0	H430	God
GEN	2	7	1	H3335	formed
GEN	2	7	2	H120	man
GEN	2	7	3	H6083	dust
GEN	2	7	4	H4480	of
GEN	2	7	5	H127	ground
GEN	2	7	6	H5301	breathed
GEN	2	7	7	H639	nostrils
GEN	2	7	8	H5397	breath
GEN	2	7	9	H2416	life
GEN	2	7	10	H120	man
GEN	2	7	11	H2416	living
GEN	2	7	12	H5315	soul
GEN	2	8	0	H430	God
GEN	2	8	1	H5193	planted
GEN	2	8	2	H1588	garden
GEN	2	8	3	H6924	eastward
GEN	2	8	4	H5731	Eden
GEN	2	8	5	H8033	there
GEN	2	8	6	H7760	put
